"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Australia","AUS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28658.3658903333","28185.7529003265","27969.0661165142","28815.4629795064","29646.4192650494","30412.0780548637","31179.3078735732","32055.3850594342","33174.9076526314","34443.8661779261","35377.729551754","35578.642071091","36553.9646143988","37183.6845735971","38225.6937136627","38928.0407567854","39445.1329184684","40680.1896301231","41331.5279733539","41266.8663842235","41464.0400696359","41894.1730524786","42754.4562863267","43118.0861274364","43547.1974836868","43923.2582693466","44493.4808943831","44648.7099113362","",
"Austria","AUT","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31341.9023811581","32098.4915397552","32411.8024585346","32314.9708748054","32964.1016119637","33791.8014680143","34539.0855902146","35222.2593769414","36443.7092612023","37666.411617272","38844.404713666","39186.3370023663","39638.0268737228","39816.7741226218","40652.8107017009","41282.8799941074","42498.0073262324","43939.4252883758","44441.7885303671","42656.8541604126","43336.1978527647","44452.7327457999","44551.6175741173","44301.104028751","44320.5020125474","44304.967756787","44464.3502683082","45436.6858219914","",
"Azerbaijan","AZE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8513.31069277994","8323.49934468511","6345.5169997564","4806.13270233044","3807.50790708691","3319.76734895474","3329.13480415802","3488.41002547603","3801.00252072188","4046.6074672842","4458.99842303434","4862.6190309313","5338.07631838764","5891.13710833521","6435.44812947118","8051.67483806248","10711.1822716451","13243.2128559113","14364.9942336723","15393.8932908055","15950.2574578784","15754.1523626148","15888.2179950886","16593.1887600482","16715.1055213058","16698.8636532538","16001.3233967209","15847.4188327529","",
"Burundi","BDI","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1031.86297921739","1058.66780481738","1046.86464882016","962.788572653661","910.111470741658","825.316792501322","749.355360135347","728.876082617228","754.333406858349","735.703733968227","715.523769669117","712.954886001267","724.140195515514","693.516794470563","703.824430014221","687.118761192712","700.53229991197","700.5953001379","710.261724527628","713.302714941611","726.084239238999","732.262990100057","742.157994873418","755.952954079889","764.780217762144","712.796926609705","686.650177473812","668.478984270799","",
"Belgium","BEL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30647.8213478709","31093.8610724912","31441.977285362","31018.1395921895","31920.5561312755","32613.4078364629","33068.3953782617","34212.4882853649","34813.8621527162","35971.8504151917","37188.6436930907","37361.718437763","37856.8647131311","37990.7133086751","39201.5271563108","39802.9722724017","40532.2730382074","41623.4417399595","41619.3400813337","40355.5731175835","41085.9189401366","41248.725342013","41046.481185763","40928.136605999","41360.3955755286","41708.2123401731","42083.6443038217","42658.57617009","",
"Benin","BEN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1462.67742107927","1473.86252559355","1465.57057864765","1497.74263989156","1476.5393429105","1515.06774041106","1531.64280725026","1571.16906095909","1585.78506587644","1621.90086797704","1666.46746353098","1703.01513026645","1728.69687889668","1734.69529970284","1757.90297863214","1735.97415014991","1752.95773973829","1805.62256823782","1841.18844650837","1831.88182729151","1818.77846075906","1820.89469315629","1855.95311837934","1934.64910749687","2001.0772890116","1987.14191963108","2009.61832073663","2069.19492266158","",
"Burkina Faso","BFA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","844.342167576777","896.598477820563","874.806444566451","880.89149248784","868.463532306393","893.240680831447","964.586920602274","997.364751381498","1040.667437642","1086.61619839277","1075.39533703334","1114.20225286606","1129.74053824911","1183.09487974235","1200.41706167989","1266.36153727954","1305.92487685024","1338.83837475586","1393.69699328809","1392.20019360498","1423.37770598198","1472.71648241138","1521.45429478715","1562.30470766267","1582.33369667322","1596.33458051647","1642.47018941385","1696.22547690272","",
"Bangladesh","BGD","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1287.93366418737","1301.69965941864","1341.76334138033","1374.41890576168","1397.31861864065","1437.6397305204","1470.90745239521","1504.87169006458","1550.31803503193","1590.25166657181","1641.95876843278","1692.82911877697","1725.63200463028","1775.97815407773","1838.76198025346","1929.93874339681","2031.27199227915","2148.47399345425","2252.16873338547","2339.86576916766","2442.72888765696","2570.85014525476","2706.58674530986","2835.76700221954","2973.04102109378","3132.56754015214","3319.35355606232","3523.98385062592","",
"Bulgaria","BGR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9296.90896876333","8596.47344229234","8057.36591486513","8001.67231132097","8174.85720809515","8446.20924651671","8549.70794336771","8508.2576868112","9109.02761148376","8390.03529795344","8833.40548449307","9350.7425646054","10123.323439097","10729.9618650789","11507.0008865405","12419.8709907872","13374.8554624131","14463.1159964405","15442.0799255986","14984.5366930195","15283.220396849","15676.0776296628","15772.0232345089","15938.87697549","16324.2794702165","16999.0459943312","17792.6149177782","18606.0321094819","",
"Bahrain","BHR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35113.3329386605","37996.6430763657","39506.1787854484","43499.0891903771","42334.375610445","42896.7142454249","43504.5115981395","43624.1594258385","44315.4592535893","44562.3398016227","44942.3690225206","43887.0711920261","43147.4963779058","43187.4991847906","43355.3056525645","43201.8066853191","42673.0806319225","42755.4262028945","42218.1484889764","40717.1804076523","40570.5356928307","40164.5827403304","40960.3331839838","42680.2013445965","43837.3440580026","43926.474036316","43642.9725745003","43290.7045180745","",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30991.9683431978","29152.3356552967","27508.4452673376","27081.1751657808","27455.0333965892","28221.9670015881","29036.6559484835","29307.0620060227","30362.3919721612","32142.3417743132","32990.761453869","33271.1832246061","33505.4131693687","32391.3137942861","31990.3498675828","32401.1397170847","32565.7070339875","32409.6870428625","31080.1580119056","29263.8032456101","29221.9911816149","28941.0282297787","29395.6197182314","28871.3582593754","28456.8165292476","28407.1258158807","27613.5179396955","27717.8472975209","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1471.34954764618","1825.99193265205","3508.15666917672","4749.70975112944","5493.5132198524","6007.06320558743","6324.68496080048","6594.9556541449","6936.16959098535","7207.050298575","7642.55259862363","8311.44927357824","8766.4831002541","9293.25711853898","9824.65314381647","9572.98048137798","9719.97377735563","9901.55353599839","9929.65122756371","10284.7270260341","10516.7269915945","10932.4056805132","11337.5136576373","11731.4374311463","",
"Belarus","BLR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8366.63218540654","8262.17850653382","7452.9248685908","6871.03319202127","6074.24098010329","5460.13840220898","5631.80627083602","6300.4979870598","6862.29738560981","7125.52296076956","7574.40500647537","7973.11351649532","8428.86324275618","9085.88622334292","10195.510812677","11230.3314370801","12429.2352005782","13560.2284842627","14995.0776401664","15058.6044544366","16260.5926799472","17166.6956434719","17472.3249308517","17644.8544069875","17933.3427177555","17219.1206477761","16763.0361063249","17157.5704331121","",
"Belize","BLZ","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5115.84347903983","5595.69382600049","6167.53163803386","6445.16469840676","6325.47918456372","6203.53946964287","6094.46065813126","6084.67325025376","6074.40804419953","6366.01478597712","6953.70092605265","7082.83772099383","7240.39855894895","7712.12743567954","7867.16936636951","7865.21418245878","8014.23197723836","7894.8393327469","7943.24346227305","7798.75909868445","7870.11739750897","7855.0824434194","7905.52195804817","7799.59939805377","7914.81989870934","8013.42171231653","7799.87768728321","7748.81658836051","",
"Bermuda","BMU","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40553.2585214927","39322.1091825364","39584.3298590314","40557.2201557525","40518.4078179105","41999.2594636705","42816.9632444088","44514.1094159639","45911.6864997413","47199.8414462497","51140.236844667","54245.1496398132","53096.9254922092","54549.8011627024","55452.6388804958","56017.19161965","58784.5932914465","60117.4599095649","60675.9820859495","57151.9191321066","56395.0078003539","54984.5103947777","52137.3003731125","50669.3147696996","","","","","",
"Bolivia","BOL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3707.24493024301","3826.43254919418","3813.52647052397","3898.64634391863","4000.83235384513","4106.16896154224","4201.55800924018","4323.76161478576","4453.29475747229","4386.79244425246","4412.25556637269","4403.71695188211","4431.30608787595","4470.30911054358","4575.17286838242","4694.91660601699","4836.43252875394","4972.49627024362","5191.13190436962","5278.03826758065","5407.47022023569","5598.50844451487","5792.93305144957","6090.69557009272","6324.82725807651","6531.51939817124","6707.95618414272","6885.82857742035","",
"Brazil","BRA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10344.8643896104","10319.9293352146","10099.7756199842","10398.160357612","10776.4331121153","11072.7252903522","11137.5892630004","11334.8207534073","11197.7019378884","11081.6546205381","11370.970939251","11368.466449571","11559.5605966069","11541.9750323446","12058.2077119511","12298.5879484653","12643.5650089806","13268.41390244","13802.8179924238","13649.8658402957","14537.5671930903","14973.0984736747","15119.9121381768","15432.8936308141","15374.2615071807","14702.5912680316","14077.1214085544","14103.4515313404","",
"Barbados","BRB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14153.3881967077","13552.6552604877","12562.3335865951","12672.0840786892","13105.5609962718","13323.0833500335","13800.3141706205","14400.1593665707","14882.7603609721","14877.2907877633","15486.5170615087","15071.5411541759","15147.958961114","15430.9797754855","15600.3481798469","16166.1510821623","17018.5712309159","17249.1505473935","17197.6016901702","16446.0946115253","16424.9280997216","16472.0832008577","16460.6714588784","16408.3175094623","16360.5546106727","16460.1541131793","16744.6423558335","16869.2934448586","",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84672.3914994667","84879.7921309364","86423.2835638991","84290.3666377931","84607.1745727311","86116.0177289558","86411.9644582628","83138.2235244123","80813.3369073958","81476.1517217496","82049.5808598868","82596.776218302","84125.4405877487","84970.735531184","83942.2194070735","82967.1127639163","85424.5583581664","84503.538755155","81905.6581289731","79512.7550128728","80552.8644713138","82434.8830910215","81993.9320766154","79070.2459316149","76089.2865740815","74600.1642971982","71788.7832343468","71809.250580867","",
"Bhutan","BTN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2325.24188426706","2315.74053813835","2448.53037239605","2537.30384522117","2697.03838953366","2896.949918925","3032.22813949343","3137.937414193","3241.36525402581","3403.55184513624","3538.77361646938","3723.98155129683","4009.25195557952","4198.5874279696","4329.15984613234","4521.98567794256","4719.66536448846","5446.36248611985","5592.16284779378","5851.67801870576","6419.67559908811","6805.87845575689","7032.74666006521","7070.79246817221","7366.42412644897","7746.76052928639","8259.34223126236","8536.33102736862","",
"Botswana","BWA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7939.28694504176","8297.68995352143","8310.3718246528","8249.40909381897","8337.12956636161","8715.85174998316","9022.90039120309","9573.74663807004","9431.97512845746","10159.7924738407","10191.0070363121","10061.7173810152","10522.4110500525","10860.3756397827","11001.8568104272","11338.780485461","12102.0359763814","12897.1456112619","13477.7870686257","12235.6341099661","13052.8090166745","13596.1670881865","13943.8946892784","15239.738221989","15578.8251153063","15032.6983293659","15395.2758379765","15473.9226231674","",
